  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::        (v2.2.2.RELEASE)

2020-08-28 12:15:18.996  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Show last name and first name
2020-08-28 12:15:18.996  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Show last name and first name
2020-08-28 12:15:18.996  INFO 5296 --- [           main] c.e.batchprocessing.PersonItemProcessor  : Converting (firstName: Joe, lastName: Doe) into (firstName: JOE, lastName: DOE)
2020-08-28 12:15:18.996  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Get first name date
2020-08-28 12:15:18.996  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Get last name date
2020-08-28 12:15:18.996  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Name instantiation
2020-08-28 12:15:18.996  INFO 5296 --- [           main] c.e.batchprocessing.PersonItemProcessor  : teshi:Change string to uppercase
2020-08-28 12:15:18.996  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Show last name and first name
2020-08-28 12:15:18.996  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Show last name and first name
2020-08-28 12:15:18.996  INFO 5296 --- [           main] c.e.batchprocessing.PersonItemProcessor  : Converting (firstName: Justin, lastName: Doe) into (firstName: JUSTIN, lastName: DOE)
2020-08-28 12:15:18.996  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Get first name date
2020-08-28 12:15:18.996  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Get last name date
2020-08-28 12:15:18.996  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Name instantiation
2020-08-28 12:15:18.996  INFO 5296 --- [           main] c.e.batchprocessing.PersonItemProcessor  : teshi:Change string to uppercase
2020-08-28 12:15:18.996  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Show last name and first name
2020-08-28 12:15:18.996  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Show last name and first name
2020-08-28 12:15:18.996  INFO 5296 --- [           main] c.e.batchprocessing.PersonItemProcessor  : Converting (firstName: Jane, lastName: Doe) into (firstName: JANE, lastName: DOE)
2020-08-28 12:15:18.996  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Get first name date
2020-08-28 12:15:18.996  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Get last name date
2020-08-28 12:15:18.996  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Name instantiation
2020-08-28 12:15:18.996  INFO 5296 --- [           main] c.e.batchprocessing.PersonItemProcessor  : teshi:Change string to uppercase
2020-08-28 12:15:18.996  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Show last name and first name
2020-08-28 12:15:18.996  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Show last name and first name
2020-08-28 12:15:18.996  INFO 5296 --- [           main] c.e.batchprocessing.PersonItemProcessor  : Converting (firstName: John, lastName: Doe) into (firstName: JOHN, lastName: DOE)
2020-08-28 12:15:19.000  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Get first name date
2020-08-28 12:15:19.004  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Get last name date
2020-08-28 12:15:19.007  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Get first name date
2020-08-28 12:15:19.007  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Get last name date
2020-08-28 12:15:19.008  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Get first name date
2020-08-28 12:15:19.008  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Get last name date
2020-08-28 12:15:19.009  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Get first name date
2020-08-28 12:15:19.009  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Get last name date
2020-08-28 12:15:19.009  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Get first name date
2020-08-28 12:15:19.009  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Get last name date
2020-08-28 12:15:19.009  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Get first name date
2020-08-28 12:15:19.009  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Get last name date
2020-08-28 12:15:19.016  INFO 5296 --- [           main] o.s.batch.core.step.AbstractStep         : Step: [step1] executed in 120ms
2020-08-28 12:15:19.022  INFO 5296 --- [           main] c.e.b.JobCompletionNotificationListener  : !!! JOB FINISHED! Time to verify the results
2020-08-28 12:15:19.022  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Name instantiation
2020-08-28 12:15:19.022  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Name instantiation
2020-08-28 12:15:19.022  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Name instantiation
2020-08-28 12:15:19.022  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Name instantiation
2020-08-28 12:15:19.022  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Name instantiation
2020-08-28 12:15:19.027  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Show last name and first name
2020-08-28 12:15:19.027  INFO 5296 --- [           main] c.e.b.JobCompletionNotificationListener  : Found <firstName: JILL, lastName: DOE> in the database.
2020-08-28 12:15:19.027  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Show last name and first name
